excuse,原谅
excuse me,（用于礼貌地吸引他人注意，尤其是发问时）
purple,紫色的
crayon,彩色蜡笔
five-year-old,五岁的
sunshine,阳光
virus,病毒
afford,买得起，付得起
disappointment,失望、扫兴，沮丧
X-ray,X光检查
treatment,治疗，诊治；疗法
pocket,衣袋，口袋
pocket money,零花钱
illness,病，疾病
wheelchair,轮椅
public,公众的，大众的
go public,公开，公之于众
mention,提到，说起，谈到
directly,直接地
solution,解决，解决方法
bottle,瓶子
a bottle of,一瓶
exam,考试
dialogue,对话，对白
flu,流行性感冒，流感
homeless,无家可归的
soldier,士兵，军人
fireman,消防队员
against,反对
graduate,大学毕业
college,大学；学院
goodwill,好意，亲善，友善
warmth,温暖
means,手段；方法；工具
by no means,绝不，一点儿都不
lucky,运气好的，幸运的
