spiderman,蜘蛛人（指高空作业人员）
wet,湿的，潮的，潮湿的
drop,（液体的）滴
sweat,汗，汗水
watermelon,西瓜
remind,使想起（故人或旧事）
newborn,新生的
brush,刷子；毛刷
speech,演说，演讲
challenging,富于挑战性的；困难而有趣的
context,上下文，语境
company,公司
interview,面试，面谈
communication,信息交流；沟通
skill,技能，技巧，技艺
personality,个性，性格
require,需要（某物）
organise,组织，策划，安排
throughout,在整个期间，自始至终
benefit,好处，益处，裨益
leadership,领导才能，领导素质
training,训练，培训
cashier,出纳员
necessary,必要的，必需的，必不可少的
replace,以……替换，更换
human,人的，人类的
pilot,（飞机或飞行器的）驾驶员，飞行员
autopilot,自动驾驶仪
tourism,旅游业，观光业
surely,确实地，无疑地
provide,提供，供应，供给
low,（数量、水平或价值）少的、低的
beyond,在更远处；往更远处
virtual,虚拟的，模拟的
reality,真实；现实
fashionable,时髦的，流行的
market,市场
