dinosaur,恐龙
feather,羽毛，翎
feather-covered,羽毛覆盖的
lizard,蜥蜴
amber,琥珀
whether,是否（用于表示选择或对某事不确定）
species,物种
unknown,不知道的，未知的
northern,北部的
African,非洲的，非洲人的
belief,观点
fully,完全地；充分地；彻底地
unlock,解锁
unlock the secrets of,揭开某事的秘密
finding,发现，（调查、研究等的）结果
newspaper,报纸
writing,写作，著书
style,风格
method,方法，办法
alive,变得兴味盎然，生动起来
argument,论点，论据
board,布告牌，公告牌
model,模型
planet,行星
true,符合事实的，真的，真实的
clear,清除；清理
upload,上载，上传
whale,鲸
boiling,很热的，滚热的
chemical,化学物质
react,起化学反应
endless,无数的，无限的
country,国，国家
sight,视力，视觉
anybody,任何人
magnifier,放大镜
wealth,财富
state,国家
prize,奖品，奖赏
hardly,几乎不
belong,应在（某处）
belong to,属于
granddaughter,孙女；外孙女
softly,轻柔地，柔和地
