sweetly,悦耳动听地，好听地
villager,村民
wheat,小麦
childhood,童年，儿童时代
countryside,乡下，农村
province,省
especially,尤其
wisdom,智慧，知识，学问
below,在……的下面
arrival,到来
calendar,历法
webpage,网页
energetic,精力充沛的，充满活力的
safely,安全地，无危害地
bee-keeping,养蜂
accord,与某事物相符（一致）
according to,据......所示，按......所说
energy,能源
material,材料
desert,沙漠，荒漠
charge,（使）充电
environment,生态环境
resource,资源（指土地、矿产等）
nature resources,自然资源
probably,很可能，大概
west,西部
east,东部
mid-summer,仲夏
crazy,疯狂的
rainfall,雨量
survive,活下来；幸存
underground,地（面）下的
canal,运河
amazingly,惊人地；了不起地
among,在……（人员）中，是……之一
shortage,短缺，不足，缺乏
increase,增加，增多；增长
